ABI3 LTI65 0.798
ABI3 ABI5 0.994
ABI5 PXG3 0.655
ABI5 PYR1 0.885
ABI5 CBL4 0.409
ABI5 DREB2A 0.795
ABI5 COR47 0.758
ABI5 ATHB-6 0.544
ABI5 AP2 0.792
ABI5 PP2CA 0.889
ABI5 ACT7 0.637
ABI5 P5CSA 0.492
ABI5 SUMO1 0.706
ABI5 HTR4 0.405
ABI5 HTR2 0.4
ABI5 EM6 0.901
ABI5 LTI65 0.858
ABI5 RD29A 0.892
ABI5 EM1 0.835
ABI5 RD22 0.793
ABI5 MYB96 0.607
ABI5 NAC002 0.55
ABI5 Atmyb2 0.734
ABI5 SRK2D 0.967
ABI5 SRK2I 0.949
ABI5 MYC2 0.778
ABI5 COR15A 0.744
ABI5 SIZ1 0.84
ABI5 MED25 0.812
ABI5 HOS1 0.491
ABI5 WRKY33 0.438
ABI5 NAC072 0.79
ABI5 SRK2E 0.949
ABI5 DRIP2 0.408
ABI5 ACT2 0.716
ABI5 WRKY18 0.784
ABI5 WRKY63 0.717
ABI5 NAC019 0.612
ABI5 BZIP8 0.926
ABI5 HAB1 0.821
ABI5 MYB44 0.525
ABI5 ZEP 0.802
ABI5 SAG113 0.825
ABI5 HTR11 0.402
ABI5 SUMO3 0.438
ABI5 SUMO2 0.482
ABI5 HDA6 0.431
ABI5 T6J4.12 0.402
ABI5 KEG 0.977
ABI5 CIPK24 0.574
ABI5 NAC055 0.431
ABI5 AIP1 0.738
ABI5 NCED3 0.823
ABI5 SCRM 0.843
ABI5 DREB1A 0.745
ABI5 SDIR1 0.772
ABI5 DRIP1 0.541
ABI5 WRKY40 0.785
ABI5 F22C12.10 0.404
ABI5 COR15B 0.405
ABI5 RHA2A 0.483
ABI5 CUL3A 0.483
ABI5 DREB1C 0.493
ABI5 RAV1 0.719
ACT2 SYD 0.751
ACT2 SWC2 0.41
ACT2 MBK5.18 0.407
ACT2 HSFA2 0.492
ACT2 CBL4 0.463
ACT2 DREB2A 0.598
ACT2 CAM1 0.558
ACT2 CAM2 0.54
ACT2 HSP90-1 0.448
ACT2 CML10 0.539
ACT2 COR47 0.552
ACT2 CLPB1 0.401
ACT2 ERD10 0.403
ACT2 AP2 0.67
ACT2 P5CSA 0.54
ACT2 HTR4 0.878
ACT2 CAM7 0.574
ACT2 HTR2 0.869
ACT2 F24B9.25 0.736
ACT2 ARF7 0.485
ACT2 EM6 0.405
ACT2 CAM6 0.54
ACT2 LTI65 0.779
ACT2 APX1 0.62
